n,identifier,splitted_result
602,keyPressed,key-pressed
603,keyReleased,key-released
604,keyTyped,key-typed
605,lastClick,last-click
606,lastElement,last-element
607,layoutConnection,layout-connection
608,layoutContainer,layout-container
609,LayoutManager,layout-manager
610,lightGray,light-gray
611,LineConnection,line-connection
612,lineConnectionSerializedDataVersion,line-connection-serialized-data-version
613,lineContainsPoint,line-contains-point
614,LineDecoration,line-decoration
615,LineFigure,line-figure
616,lineFigureSerializedDataVersion,line-figurese-rialized-data-version
617,lineno,line-no
618,loadDrawing,load-drawing
619,loadImage,load-image
620,loadImageResource,load-image-resource
621,loadRegisteredImages,load-registered-images
622,LocatorConnector,locator-connector
623,locatorConnectorSerializedDataVersion,locator-connector-serialized-data-version
624,LocatorHandle,locator-handle
625,makeInstance,make-instance
626,MalformedURLException,malformed-url-exception
627,markDirty,mark-dirty
628,MediaTracker,media-tracker
629,Mediatracker,media-tracker
630,MenuBar,menu-bar
631,MenuItem,menu-item
632,MenuShortcut,menu-shortcut
633,minimumLayoutSize,minimum-layout-size
634,mouseClicked,mouse-clicked
635,mouseDown,mouse-down
636,mousedown,mouse-down
637,mouseDragged,mouse-dragged
638,mouseDrag,mouse-drag
639,mouseEntered,mouse-entered
640,MouseEvent,mouse-event
641,mouseExited,mouse-exited
642,MouseListener,mouse-listener
643,MouseMotionListener,mouse-motion-listener
644,mouseMoved,mouse-moved
645,mouseMove,mouse-move
646,mousePressed,mouse-pressed
647,mouseReleased,mouse-released
648,mouseUp,mouse-up
649,moveBy,move-by
650,moveSelection,move-selection
651,myOwner,my-owner
652,MySelectionTool,my-selection-tool
653,needsLayout,needs-layout
654,NetApp,net-app
655,netscape,net-scape
656,newAngle,new-angle
657,newCorner,new-corner
658,newEnd,new-end
659,newExtent,new-extent
660,newFigure,new-figure
661,newFigures,new-figures
662,newFont,new-font
663,newInstance,new-instance
664,newLen,new-len
665,newOrigin,new-origin
666,newSize,new-size
667,newText,new-text
668,nextElement,next-element
669,nextFigure,next-figure
670,nextToken,next-token
671,NodeFigure,node-figure
672,NorthEastHandle,north-east-handle
673,NorthHandle,north-handle
674,NorthWestHandle,north-west-handle
675,northWest,north-west
676,NoSuchElementException,no-such-element-exception
677,NoSuchMethodError,no-such-method-error
678,NothingApplet,nothing-applet
679,NothingApp,nothing-app
680,notifyAll,notify-all
681,notifyPostTasks,notify-post-tasks
682,NullHandle,null-handle
683,NullHandles,null-handles
684,NumberFormatException,number-format-exception
685,NumberTextFigure,number-text-figure
686,numberTextFigureSerializedDataVersion,number-text-figure-serialized-data-version
687,ObjectInput,object-input
688,ObjectInputStream,object-input-stream
689,ObjectOutput,object-output
690,ObjectOutputStream,object-output-stream
691,offscreen,off-screen
692,OffsetLocator,offset-locator
693,offsetLocatorSerializedDataVersion,offset-locator-serialized-data-version
694,offsetX,offset-x
695,offsetY,offset-y
696,oldCorner,old-corner
697,openStream,open-stream
698,openView,open-view
699,originalPolygon,original-polygon
700,orphanAll,orphan-all
701,outermost,outermost
702,outermostPoint,outermost-point
703,outerRadius,outer-radius
704,OutputStream,output-stream
705,outside,out-side
706,ovalAngleToPoint,oval-angle-to-point
707,overlayColumns,overlay-columns
708,ownerConnection,owner-connection
709,paintBackground,paint-background
710,paintNormal,paint-normal
711,paintPressed,paint-pressed
712,paintSelected,paint-selected
713,PaletteButton,palette-button
714,PaletteIcon,palette-icon
715,PaletteLayout,palette-layout
716,PaletteListener,palette-listener
717,paletteUserOver,palette-user-over
718,paletteUserSelected,palette-user-selected
719,partExtent,par-textent
720,partOrigin,part-origin
721,PasteCommand,paste-command
722,pathname,path-name
723,PatternPainter,pattern-painter
724,peelDecoration,peel-decoration
725,PertApplet,pert-applet
726,PertApplication,pert-application
727,PertDependency,pert-dependency
728,pertDependencySerializedDataVersion,pert-dependency-serialized-data-version
729,PertFigureCreationTool,pert-figure-creation-tool
730,PertFigure,pert-figure
731,pertFigureSerializedDataVersion,pert-figure-serialized-data-version
732,PERTIMAGES,pert-images
733,PointConstrainer,point-constrainer
734,pointCount,point-count
735,pointIndex,point-index
736,pointToAngle,point-to-angle
737,polarToPoint,polar-to-point
738,PolygonFigure,polygon-figure
739,polygonFigureSerializedDataVersion,polygon-figure-serialized-data-version
740,PolygonFigures,polygon-figures
741,PolygonHandle,polygon-handle
742,PolygonPointAddHandle,polygon-point-add-handle
743,PolygonScaleHandle,polygon-scale-handle
744,PolygonTool,polygon-tool
745,PolyLineConnector,poly-line-connector
746,PolyLineFigure,poly-line-figure
747,polyLineFigureSerializedDataVersion,poly-line-figure-serialized-data-version
748,PolyLineFigures,poly-line-figures
749,PolyLineHandle,poly-line-handle
750,PolyLineHandles,poly-line-handles
751,PolyLineLocator,poly-line-locator
752,polyline,poly-line
753,preferredLayoutSize,preferred-layout-size
754,printAll,print-all
755,PrintGraphics,print-graphics
756,PrintJob,print-job
757,printJob,print-job
758,PrintWriter,print-writer
759,promptNew,prompt-new
760,promptOpen,prompt-open
761,promptSaveAs,prompt-saveas
762,promptSaveAsSerialized,prompt-save-as-serialized
763,RadiusHandle,radius-handle
764,readBoolean,read-boolean
765,readColor,read-color
766,readDouble,read-double
767,readDrawing,read-drawing
768,readFromObjectInput,read-from-object-input
769,readFromStorableInput,read-from-storable-input
770,readInt,read-int
771,readObject,read-object
772,readOnly,read-only
773,readStorable,read-storable
774,readString,read-string
775,readTasks,read-tasks
776,RectangleFigure,rectangle-figure
777,rectangleFigureSerializedDataVersion,rectangle-figure-serialized-data-version
778,registerAndLoadImage,register-and-load-image
779,registerImage,register-image
780,RelativeLocator,relative-locator
781,relativeLocatorSerializedDataVersion,relative-locator-serialized-data-version
782,relativeX,relative-x
783,relativeY,relative-y
784,removeActionListener,remove-action-listener
785,removeAllElements,remove-all-elements
786,removeAll,remove-all
787,removeBackground,remove-background
788,removeDrawingChangeListener,removed-rawing-change-listener
789,removeElementAt,remove-element-at
790,removeElement,remove-element
791,removeFigureChangeListener,remove-figure-change-listener
792,removeForeground,remove-foreground
793,removeFrfigureRequestRemove,remove-fr-figure-request-remove
794,removeFromContainer,remove-from-container
795,removeFromDrawing,remove-from-drawing
796,removeFromSelection,remove-from-selection
797,removeInternal,remove-internal
798,removeLayoutComponent,remove-layout-component
799,removePointAt,remove-point-at
800,removePostTask,remove-post-task
801,removePreTask,remove-pre-task
802,repairDamage,repair-damage
803,requestFocus,request-focus
804,requestUpdate,request-update
805,resourcename,resource-name
806,ReverseFigureEnumerator,reverse-figure-enumerator
807,ReverseVectorEnumerator,reverse-vector-enumerator
808,RoundRectangleFigure,round-rectangle-figure
809,roundRectangleSerializedDataVersion,round-rectangle-serialized-data-version
810,rubberBand,rubber-band
811,sampleimages,sample-images
812,saveAsObjectOutput,save-as-object-output
813,saveAsStorableOutput,save-as-storable-output
814,scaleRotate,scale-rotate
815,ScribbleTool,scribble-tool
816,ScrollPane,scroll-pane
817,selectAll,select-all
818,SelectAreaTracker,select-area-tracker
819,selectGroup,select-group
820,selectionChanged,selection-changed
821,selectionCount,selection-count
822,selectionElements,selection-elements
823,selectionHandles,selection-handles
824,SelectionTool,selection-tool
825,selectionZOrdered,selection-z-ordered
826,SendToBackCommand,send-to-back-command
827,sendToBack,send-to-back
828,serialVersionUID,serial-version-uid
829,setArc,set-arc
830,setAttribute,set-attribute
831,setBackground,set-background
832,setBounds,set-bounds
833,setBufferedDisplayUpdate,set-buffered-display-update
834,setColor,set-color
835,setConstrainer,set-constrainer
836,setContents,set-contents
837,setCurrentFontName,set-current-font-name
838,setCurrentFontSize,set-current-font-size
839,setCurrentFontStyle,set-current-font-style
840,setCursor,set-cursor
841,setDisplayUpdate,set-display-update
842,setDrawing,set-drawing
843,setEditable,set-editable
844,setEditor,set-editor
845,setElementAt,set-element-at
846,setEnabled,set-enabled
847,setEndDecoration,set-end-decoration
848,setEnd,set-end
849,setFont,set-font
850,setFrameColor,set-frame-color
851,setInt,set-int
852,setLabel,set-label
853,setLayout,set-layout
854,setMenuBar,set-menu-bar
855,setName,set-name
856,setPointAt,set-point-at
857,setPoint,set-point
858,setPoints,set-points
859,setReadOnly,set-read-only
860,setSelected,set-selected
861,setSimpleDisplayUpdate,set-simple-display-update
862,setSize,set-size
863,setStartDecoration,set-start-decoration
864,setText,set-text
865,setTitle,set-title
866,setTool,set-tool
867,setUnitIncrement,set-unit-increment
868,setupAttributes,setup-attributes
869,setValue,set-value
870,setVisible,set-visible
871,setXORMode,set-xor-mode
872,ShortestDistanceConnector,shortest-distance-connector
873,showDocument,show-document
874,showHelp,show-help
875,showStatus,show-status
876,SimpleUpdateStrategy,simple-update-strategy
877,SleeperThread,sleeper-thread
878,smoothPoints,smooth-points
879,SouthEastHandle,south-east-handle
880,southEast,south-east
881,SouthHandle,south-handle
882,SouthWestHandle,south-west-handle
883,southWest,south-west
884,splitSegment,split-segment
885,StandardDrawing,standard-drawing
886,StandardDrawingView,standard-drawing-view
887,startAnimation,start-animation
888,startConnector,start-connector
889,startNewLine,start-new-line
890,startPoint,start-point
891,startSleeper,start-sleeper
892,stopSleeper,stop-sleeper
893,StorableInput,storable-input
894,StorableOutput,storable-output
895,StreamTokenizer,stream-tokenizer
896,StringTokenizer,string-tokenizer
897,stringWidth,string-width
